Ciclo;CRS;Município;Código do IBGE;Ano;Número da armadilha;Ovos;Link;Latitude;Longitude;Resultado;Semana;Lat_lng
Janeiro;;Montes Claros;3143302;2024;49;4;Montes Claros_49;-16,68836;-43,84344;Positiva;3;-16.68836,-43.84344
Janeiro;;Montes Claros;3143302;2024;50;44;Montes Claros_50;-16,68699;-43,82520;Positiva;3;-16.68699,-43.82520
Janeiro;;Montes Claros;3143302;2024;51;0;Montes Claros_51;-16,68764;-43,81956;Negativa;3;-16.68764,-43.81956
Janeiro;;Montes Claros;3143302;2024;52;0;Montes Claros_52;-16,69079;-43,87922;Negativa;3;-16.69079,-43.87922
Janeiro;;Montes Claros;3143302;2024;53;31;Montes Claros_53;-16,69033;-43,87639;Positiva;3;-16.69033,-43.87639
Janeiro;;Montes Claros;3143302;2024;54;4;Montes Claros_54;-16,68921;-43,87386;Positiva;3;-16.68921,-43.87386
Janeiro;;Montes Claros;3143302;2024;55;0;Montes Claros_55;-16,69112;-43,85093;Negativa;3;-16.69112,-43.85093
Janeiro;;Montes Claros;3143302;2024;56;0;Montes Claros_56;-16,69087;-43,84298;Negativa;3;-16.69087,-43.84298
Janeiro;;Montes Claros;3143302;2024;57;138;Montes Claros_57;-16,69102;-43,83948;Positiva;3;-16.69102,-43.83948
Janeiro;;Montes Claros;3143302;2024;58;0;Montes Claros_58;-16,69035;-43,83631;Negativa;3;-16.69035,-43.83631
Janeiro;;Montes Claros;3143302;2024;59;0;Montes Claros_59;-16,69069;-43,83068;Negativa;3;-16.69069,-43.83068
Janeiro;;Montes Claros;3143302;2024;60;2;Montes Claros_60;-16,69051;-43,82717;Positiva;3;-16.69051,-43.82717
Janeiro;;Montes Claros;3143302;2024;61;68;Montes Claros_61;-16,68984;-43,81985;Positiva;3;-16.68984,-43.81985
Janeiro;;Montes Claros;3143302;2024;62;0;Montes Claros_62;-16,69319;-43,87924;Negativa;3;-16.69319,-43.87924
Janeiro;;Montes Claros;3143302;2024;63;0;Montes Claros_63;-16,69354;-43,87623;Negativa;3;-16.69354,-43.87623
Janeiro;;Montes Claros;3143302;2024;64;281;Montes Claros_64;-16,69357;-43,87315;Positiva;3;-16.69357,-43.87315
Janeiro;;Montes Claros;3143302;2024;65;0;Montes Claros_65;-16,69346;-43,85242;Negativa;3;-16.69346,-43.85242
Janeiro;;Montes Claros;3143302;2024;66;0;Montes Claros_66;-16,69377;-43,84885;Negativa;3;-16.69377,-43.84885
Janeiro;;Montes Claros;3143302;2024;67;23;Montes Claros_67;-16,69398;-43,84460;Positiva;3;-16.69398,-43.84460
Janeiro;;Montes Claros;3143302;2024;68;80;Montes Claros_68;-16,69328;-43,84005;Positiva;3;-16.69328,-43.84005
Janeiro;;Montes Claros;3143302;2024;69;64;Montes Claros_69;-16,69380;-43,83691;Positiva;3;-16.69380,-43.83691
Janeiro;;Montes Claros;3143302;2024;70;0;Montes Claros_70;-16,69325;-43,83448;Negativa;3;-16.69325,-43.83448
Janeiro;;Montes Claros;3143302;2024;71;0;Montes Claros_71;-16,69316;-43,82760;Negativa;3;-16.69316,-43.82760
Janeiro;;Montes Claros;3143302;2024;72;291;Montes Claros_72;-16,69357;-43,82093;Positiva;3;-16.69357,-43.82093
Janeiro;;Montes Claros;3143302;2024;73;11;Montes Claros_73;-16,69385;-43,81402;Positiva;3;-16.69385,-43.81402
Janeiro;;Montes Claros;3143302;2024;74;0;Montes Claros_74;-16,69374;-43,81034;Negativa;3;-16.69374,-43.81034
Janeiro;;Montes Claros;3143302;2024;75;0;Montes Claros_75;-16,69693;-43,87917;Negativa;3;-16.69693,-43.87917
Janeiro;;Montes Claros;3143302;2024;76;0;Montes Claros_76;-16,69674;-43,87437;Negativa;3;-16.69674,-43.87437
Janeiro;;Montes Claros;3143302;2024;77;75;Montes Claros_77;-16,69639;-43,87053;Positiva;3;-16.69639,-43.87053
Janeiro;;Montes Claros;3143302;2024;78;0;Montes Claros_78;-16,69711;-43,86235;Negativa;3;-16.69711,-43.86235
Janeiro;;Montes Claros;3143302;2024;79;118;Montes Claros_79;-16,69601;-43,85485;Positiva;3;-16.69601,-43.85485
Janeiro;;Montes Claros;3143302;2024;80;44;Montes Claros_80;-16,69640;-43,85234;Positiva;3;-16.69640,-43.85234
Janeiro;;Montes Claros;3143302;2024;81;5;Montes Claros_81;-16,69661;-43,84972;Positiva;3;-16.69661,-43.84972
Janeiro;;Montes Claros;3143302;2024;82;67;Montes Claros_82;-16,69624;-43,84593;Positiva;3;-16.69624,-43.84593
Janeiro;;Montes Claros;3143302;2024;83;229;Montes Claros_83;-16,69609;-43,84361;Positiva;3;-16.69609,-43.84361
Janeiro;;Montes Claros;3143302;2024;84;77;Montes Claros_84;-16,69616;-43,84025;Positiva;3;-16.69616,-43.84025
Janeiro;;Montes Claros;3143302;2024;85;35;Montes Claros_85;-16,69639;-43,83725;Positiva;3;-16.69639,-43.83725
Janeiro;;Montes Claros;3143302;2024;86;0;Montes Claros_86;-16,69669;-43,83382;Negativa;3;-16.69669,-43.83382
Janeiro;;Montes Claros;3143302;2024;87;20;Montes Claros_87;-16,69642;-43,82209;Positiva;3;-16.69642,-43.82209
Janeiro;;Montes Claros;3143302;2024;88;0;Montes Claros_88;-16,69661;-43,81306;Negativa;3;-16.69661,-43.81306
Janeiro;;Montes Claros;3143302;2024;89;0;Montes Claros_89;-16,69626;-43,81016;Negativa;3;-16.69626,-43.81016
Janeiro;;Montes Claros;3143302;2024;90;0;Montes Claros_90;-16,69609;-43,80717;Negativa;3;-16.69609,-43.80717
Janeiro;;Montes Claros;3143302;2024;91;0;Montes Claros_91;-16,69618;-43,80434;Negativa;3;-16.69618,-43.80434
Janeiro;;Montes Claros;3143302;2024;92;122;Montes Claros_92;-16,69949;-43,88074;Positiva;3;-16.69949,-43.88074
Janeiro;;Montes Claros;3143302;2024;93;4;Montes Claros_93;-16,70020;-43,87509;Positiva;3;-16.70020,-43.87509
Janeiro;;Montes Claros;3143302;2024;94;6;Montes Claros_94;-16,69960;-43,87288;Positiva;3;-16.69960,-43.87288
Janeiro;;Montes Claros;3143302;2024;95;6;Montes Claros_95;-16,69954;-43,86983;Positiva;3;-16.69954,-43.86983
Janeiro;;Montes Claros;3143302;2024;96;0;Montes Claros_96;-16,69916;-43,86667;Negativa;3;-16.69916,-43.86667
Janeiro;;Montes Claros;3143302;2024;97;8;Montes Claros_97;-16,69925;-43,86047;Positiva;3;-16.69925,-43.86047
Janeiro;;Montes Claros;3143302;2024;98;0;Montes Claros_98;-16,69988;-43,85484;Negativa;3;-16.69988,-43.85484
Janeiro;;Montes Claros;3143302;2024;99;45;Montes Claros_99;-16,69874;-43,85179;Positiva;3;-16.69874,-43.85179
Janeiro;;Montes Claros;3143302;2024;100;290;Montes Claros_100;-16,69971;-43,84889;Positiva;3;-16.69971,-43.84889
Janeiro;;Montes Claros;3143302;2024;101;42;Montes Claros_101;-16,69947;-43,84303;Positiva;3;-16.69947,-43.84303
Janeiro;;Montes Claros;3143302;2024;102;141;Montes Claros_102;-16,69998;-43,83793;Positiva;3;-16.69998,-43.83793
Janeiro;;Montes Claros;3143302;2024;103;73;Montes Claros_103;-16,70004;-43,83475;Positiva;3;-16.70004,-43.83475
Janeiro;;Montes Claros;3143302;2024;104;107;Montes Claros_104;-16,69914;-43,82373;Positiva;3;-16.69914,-43.82373
Janeiro;;Montes Claros;3143302;2024;105;0;Montes Claros_105;-16,69916;-43,81036;Negativa;3;-16.69916,-43.81036
Janeiro;;Montes Claros;3143302;2024;106;3;Montes Claros_106;-16,69959;-43,80733;Positiva;3;-16.69959,-43.80733
Janeiro;;Montes Claros;3143302;2024;107;0;Montes Claros_107;-16,70259;-43,88237;Negativa;3;-16.70259,-43.88237
Janeiro;;Montes Claros;3143302;2024;108;0;Montes Claros_108;-16,70270;-43,87919;Negativa;3;-16.70270,-43.87919
Janeiro;;Montes Claros;3143302;2024;109;0;Montes Claros_109;-16,70246;-43,87593;Negativa;3;-16.70246,-43.87593
Janeiro;;Montes Claros;3143302;2024;110;0;Montes Claros_110;-16,70245;-43,87286;Negativa;3;-16.70245,-43.87286
Janeiro;;Montes Claros;3143302;2024;317;63;Montes Claros_317;-16,73217;-43,86668;Positiva;3;-16.73217,-43.86668
Janeiro;;Montes Claros;3143302;2024;318;2;Montes Claros_318;-16,73304;-43,86396;Positiva;3;-16.73304,-43.86396
Janeiro;;Montes Claros;3143302;2024;342;12;Montes Claros_342;-16,73544;-43,86413;Positiva;3;-16.73544,-43.86413
Janeiro;;Montes Claros;3143302;2024;361;7;Montes Claros_361;-16,73865;-43,86371;Positiva;3;-16.73865,-43.86371
Janeiro;;Montes Claros;3143302;2024;362;0;Montes Claros_362;-16,73843;-43,86086;Negativa;3;-16.73843,-43.86086
Janeiro;;Montes Claros;3143302;2024;363;0;Montes Claros_363;-16,73858;-43,85794;Negativa;3;-16.73858,-43.85794
Janeiro;;Montes Claros;3143302;2024;381;3;Montes Claros_381;-16,74135;-43,86411;Positiva;3;-16.74135,-43.86411
Janeiro;;Montes Claros;3143302;2024;382;197;Montes Claros_382;-16,74130;-43,86089;Positiva;3;-16.74130,-43.86089
Janeiro;;Montes Claros;3143302;2024;383;24;Montes Claros_383;-16,74130;-43,85777;Positiva;3;-16.74130,-43.85777
Janeiro;;Montes Claros;3143302;2024;384;0;Montes Claros_384;-16,74119;-43,85508;Negativa;3;-16.74119,-43.85508
Janeiro;;Montes Claros;3143302;2024;402;0;Montes Claros_402;-16,74396;-43,86418;Negativa;3;-16.74396,-43.86418
Janeiro;;Montes Claros;3143302;2024;403;21;Montes Claros_403;-16,74415;-43,85805;Positiva;3;-16.74415,-43.85805
Janeiro;;Montes Claros;3143302;2024;404;12;Montes Claros_404;-16,74445;-43,85505;Positiva;3;-16.74445,-43.85505
Janeiro;;Montes Claros;3143302;2024;405;84;Montes Claros_405;-16,74404;-43,85225;Positiva;3;-16.74404,-43.85225
Janeiro;;Montes Claros;3143302;2024;420;2;Montes Claros_420;-16,74694;-43,86688;Positiva;3;-16.74694,-43.86688
Janeiro;;Montes Claros;3143302;2024;421;0;Montes Claros_421;-16,74709;-43,86413;Negativa;3;-16.74709,-43.86413
Janeiro;;Montes Claros;3143302;2024;422;22;Montes Claros_422;-16,74702;-43,86132;Positiva;3;-16.74702,-43.86132
Janeiro;;Montes Claros;3143302;2024;423;30;Montes Claros_423;-16,74697;-43,85783;Positiva;3;-16.74697,-43.85783
Janeiro;;Montes Claros;3143302;2024;424;2;Montes Claros_424;-16,74714;-43,85522;Positiva;3;-16.74714,-43.85522
Janeiro;;Montes Claros;3143302;2024;425;9;Montes Claros_425;-16,74712;-43,85220;Positiva;3;-16.74712,-43.85220
Janeiro;;Montes Claros;3143302;2024;426;22;Montes Claros_426;-16,74767;-43,84946;Positiva;3;-16.74767,-43.84946
Janeiro;;Montes Claros;3143302;2024;437;0;Montes Claros_437;-16,74977;-43,87572;Negativa;3;-16.74977,-43.87572
Janeiro;;Montes Claros;3143302;2024;440;0;Montes Claros_440;-16,74966;-43,86696;Negativa;3;-16.74966,-43.86696
Janeiro;;Montes Claros;3143302;2024;441;91;Montes Claros_441;-16,74956;-43,86390;Positiva;3;-16.74956,-43.86390
Janeiro;;Montes Claros;3143302;2024;442;58;Montes Claros_442;-16,75035;-43,86116;Positiva;3;-16.75035,-43.86116
Janeiro;;Montes Claros;3143302;2024;443;93;Montes Claros_443;-16,75059;-43,85765;Positiva;3;-16.75059,-43.85765
Janeiro;;Montes Claros;3143302;2024;444;178;Montes Claros_444;-16,75039;-43,85458;Positiva;3;-16.75039,-43.85458
Janeiro;;Montes Claros;3143302;2024;445;0;Montes Claros_445;-16,74998;-43,85206;Negativa;3;-16.74998,-43.85206
Janeiro;;Montes Claros;3143302;2024;456;0;Montes Claros_456;-16,75295;-43,87538;Negativa;3;-16.75295,-43.87538
Janeiro;;Montes Claros;3143302;2024;457;0;Montes Claros_457;-16,75332;-43,87297;Negativa;3;-16.75332,-43.87297
Janeiro;;Montes Claros;3143302;2024;458;119;Montes Claros_458;-16,75274;-43,87028;Positiva;3;-16.75274,-43.87028
Janeiro;;Montes Claros;3143302;2024;459;36;Montes Claros_459;-16,75318;-43,86721;Positiva;3;-16.75318,-43.86721
Janeiro;;Montes Claros;3143302;2024;460;269;Montes Claros_460;-16,75280;-43,86399;Positiva;3;-16.75280,-43.86399
Janeiro;;Montes Claros;3143302;2024;461;0;Montes Claros_461;-16,75301;-43,86111;Negativa;3;-16.75301,-43.86111
Janeiro;;Montes Claros;3143302;2024;462;0;Montes Claros_462;-16,75347;-43,85783;Negativa;3;-16.75347,-43.85783
Janeiro;;Montes Claros;3143302;2024;463;0;Montes Claros_463;-16,75337;-43,85487;Negativa;3;-16.75337,-43.85487
Janeiro;;Montes Claros;3143302;2024;464;0;Montes Claros_464;-16,75340;-43,85182;Negativa;3;-16.75340,-43.85182
Janeiro;;Montes Claros;3143302;2024;465;0;Montes Claros_465;-16,75333;-43,84878;Negativa;3;-16.75333,-43.84878
Janeiro;;Montes Claros;3143302;2024;472;0;Montes Claros_472;-16,75573;-43,87596;Negativa;3;-16.75573,-43.87596
Janeiro;;Montes Claros;3143302;2024;473;6;Montes Claros_473;-16,75646;-43,87290;Positiva;3;-16.75646,-43.87290
Janeiro;;Montes Claros;3143302;2024;474;29;Montes Claros_474;-16,75579;-43,87008;Positiva;3;-16.75579,-43.87008
