Ciclo;CRS;Município;Código do IBGE;Ano;Número da armadilha;Ovos;Link;Latitude;Longitude;Resultado;Semana;Lat_lng
Março;;Montes Claros;3143302;2024;17;134;Montes Claros_17;-16,67301;-43,82240;Positiva;13;-16.67301,-43.82240
Março;;Montes Claros;3143302;2024;18;204;Montes Claros_18;-16,67595;-43,87563;Positiva;9;-16.67595,-43.87563
Março;;Montes Claros;3143302;2024;18;0;Montes Claros_18;-16,67595;-43,87563;Negativa;11;-16.67595,-43.87563
Março;;Montes Claros;3143302;2024;18;42;Montes Claros_18;-16,67595;-43,87563;Positiva;13;-16.67595,-43.87563
Março;;Montes Claros;3143302;2024;19;3;Montes Claros_19;-16,67468;-43,87304;Positiva;9;-16.67468,-43.87304
Março;;Montes Claros;3143302;2024;19;0;Montes Claros_19;-16,67468;-43,87304;Negativa;11;-16.67468,-43.87304
Março;;Montes Claros;3143302;2024;19;0;Montes Claros_19;-16,67468;-43,87304;Negativa;13;-16.67468,-43.87304
Março;;Montes Claros;3143302;2024;20;41;Montes Claros_20;-16,67545;-43,85485;Positiva;9;-16.67545,-43.85485
Março;;Montes Claros;3143302;2024;20;120;Montes Claros_20;-16,67545;-43,85485;Positiva;11;-16.67545,-43.85485
Março;;Montes Claros;3143302;2024;20;0;Montes Claros_20;-16,67545;-43,85485;Negativa;13;-16.67545,-43.85485
Março;;Montes Claros;3143302;2024;21;386;Montes Claros_21;-16,67623;-43,83801;Positiva;9;-16.67623,-43.83801
Março;;Montes Claros;3143302;2024;21;130;Montes Claros_21;-16,67623;-43,83801;Positiva;11;-16.67623,-43.83801
Março;;Montes Claros;3143302;2024;21;68;Montes Claros_21;-16,67623;-43,83801;Positiva;13;-16.67623,-43.83801
Março;;Montes Claros;3143302;2024;22;353;Montes Claros_22;-16,67656;-43,83522;Positiva;9;-16.67656,-43.83522
Março;;Montes Claros;3143302;2024;22;144;Montes Claros_22;-16,67656;-43,83522;Positiva;11;-16.67656,-43.83522
Março;;Montes Claros;3143302;2024;22;49;Montes Claros_22;-16,67656;-43,83522;Positiva;13;-16.67656,-43.83522
Março;;Montes Claros;3143302;2024;23;177;Montes Claros_23;-16,67543;-43,82816;Positiva;9;-16.67543,-43.82816
Março;;Montes Claros;3143302;2024;23;178;Montes Claros_23;-16,67543;-43,82816;Positiva;11;-16.67543,-43.82816
Março;;Montes Claros;3143302;2024;23;154;Montes Claros_23;-16,67543;-43,82816;Positiva;13;-16.67543,-43.82816
Março;;Montes Claros;3143302;2024;24;142;Montes Claros_24;-16,67581;-43,82484;Positiva;9;-16.67581,-43.82484
Março;;Montes Claros;3143302;2024;24;60;Montes Claros_24;-16,67581;-43,82484;Positiva;11;-16.67581,-43.82484
Março;;Montes Claros;3143302;2024;24;24;Montes Claros_24;-16,67581;-43,82484;Positiva;13;-16.67581,-43.82484
Março;;Montes Claros;3143302;2024;25;512;Montes Claros_25;-16,67809;-43,87594;Positiva;9;-16.67809,-43.87594
Março;;Montes Claros;3143302;2024;25;787;Montes Claros_25;-16,67809;-43,87594;Positiva;11;-16.67809,-43.87594
Março;;Montes Claros;3143302;2024;25;75;Montes Claros_25;-16,67809;-43,87594;Positiva;13;-16.67809,-43.87594
Março;;Montes Claros;3143302;2024;26;0;Montes Claros_26;-16,67819;-43,87309;Negativa;9;-16.67819,-43.87309
Março;;Montes Claros;3143302;2024;26;3;Montes Claros_26;-16,67819;-43,87309;Positiva;11;-16.67819,-43.87309
Março;;Montes Claros;3143302;2024;26;0;Montes Claros_26;-16,67819;-43,87309;Negativa;13;-16.67819,-43.87309
Março;;Montes Claros;3143302;2024;27;78;Montes Claros_27;-16,67842;-43,83770;Positiva;9;-16.67842,-43.83770
Março;;Montes Claros;3143302;2024;27;778;Montes Claros_27;-16,67842;-43,83770;Positiva;11;-16.67842,-43.83770
Março;;Montes Claros;3143302;2024;27;0;Montes Claros_27;-16,67842;-43,83770;Negativa;13;-16.67842,-43.83770
Março;;Montes Claros;3143302;2024;28;132;Montes Claros_28;-16,67906;-43,83375;Positiva;9;-16.67906,-43.83375
Março;;Montes Claros;3143302;2024;28;280;Montes Claros_28;-16,67906;-43,83375;Positiva;11;-16.67906,-43.83375
Março;;Montes Claros;3143302;2024;28;91;Montes Claros_28;-16,67906;-43,83375;Positiva;13;-16.67906,-43.83375
Março;;Montes Claros;3143302;2024;29;242;Montes Claros_29;-16,67864;-43,82784;Positiva;9;-16.67864,-43.82784
Março;;Montes Claros;3143302;2024;29;13;Montes Claros_29;-16,67864;-43,82784;Positiva;11;-16.67864,-43.82784
Março;;Montes Claros;3143302;2024;29;63;Montes Claros_29;-16,67864;-43,82784;Positiva;13;-16.67864,-43.82784
Março;;Montes Claros;3143302;2024;30;44;Montes Claros_30;-16,67826;-43,82475;Positiva;9;-16.67826,-43.82475
Março;;Montes Claros;3143302;2024;30;134;Montes Claros_30;-16,67826;-43,82475;Positiva;11;-16.67826,-43.82475
Março;;Montes Claros;3143302;2024;30;29;Montes Claros_30;-16,67826;-43,82475;Positiva;13;-16.67826,-43.82475
Março;;Montes Claros;3143302;2024;31;43;Montes Claros_31;-16,67912;-43,82075;Positiva;9;-16.67912,-43.82075
Março;;Montes Claros;3143302;2024;31;0;Montes Claros_31;-16,67912;-43,82075;Negativa;11;-16.67912,-43.82075
Março;;Montes Claros;3143302;2024;31;0;Montes Claros_31;-16,67912;-43,82075;Negativa;13;-16.67912,-43.82075
Março;;Montes Claros;3143302;2024;32;242;Montes Claros_32;-16,68079;-43,83728;Positiva;9;-16.68079,-43.83728
Março;;Montes Claros;3143302;2024;32;250;Montes Claros_32;-16,68079;-43,83728;Positiva;11;-16.68079,-43.83728
Março;;Montes Claros;3143302;2024;32;140;Montes Claros_32;-16,68079;-43,83728;Positiva;13;-16.68079,-43.83728
Março;;Montes Claros;3143302;2024;33;103;Montes Claros_33;-16,68246;-43,83430;Positiva;9;-16.68246,-43.83430
Março;;Montes Claros;3143302;2024;33;27;Montes Claros_33;-16,68246;-43,83430;Positiva;11;-16.68246,-43.83430
Março;;Montes Claros;3143302;2024;33;6;Montes Claros_33;-16,68246;-43,83430;Positiva;13;-16.68246,-43.83430
Março;;Montes Claros;3143302;2024;34;106;Montes Claros_34;-16,68153;-43,83117;Positiva;9;-16.68153,-43.83117
Março;;Montes Claros;3143302;2024;34;225;Montes Claros_34;-16,68153;-43,83117;Positiva;11;-16.68153,-43.83117
Março;;Montes Claros;3143302;2024;34;0;Montes Claros_34;-16,68153;-43,83117;Negativa;13;-16.68153,-43.83117
Março;;Montes Claros;3143302;2024;35;85;Montes Claros_35;-16,68138;-43,82843;Positiva;9;-16.68138,-43.82843
Março;;Montes Claros;3143302;2024;35;0;Montes Claros_35;-16,68138;-43,82843;Negativa;11;-16.68138,-43.82843
Março;;Montes Claros;3143302;2024;35;0;Montes Claros_35;-16,68138;-43,82843;Negativa;13;-16.68138,-43.82843
Março;;Montes Claros;3143302;2024;36;113;Montes Claros_36;-16,68189;-43,82564;Positiva;9;-16.68189,-43.82564
Março;;Montes Claros;3143302;2024;36;149;Montes Claros_36;-16,68189;-43,82564;Positiva;11;-16.68189,-43.82564
